date,county_fips,county_name,param,arithmetic_mean,observation_count,units_of_measure,site_num
2024-01-01,36005,bronx,no2,14.2375,24,Parts per billion,0110
2024-01-02,36005,bronx,no2,17.1875,24,Parts per billion,0110
2024-01-03,36005,bronx,no2,18.4625,24,Parts per billion,0110
2024-01-04,36005,bronx,no2,15.415789,19,Parts per billion,0110
2024-01-05,36005,bronx,no2,18.729167,24,Parts per billion,0110
2024-01-06,36005,bronx,no2,22.8375,24,Parts per billion,0110
2024-01-07,36005,bronx,no2,13.304167,24,Parts per billion,0110
2024-01-08,36005,bronx,no2,16.95,24,Parts per billion,0110
2024-01-09,36005,bronx,no2,25.783333,24,Parts per billion,0110
2024-01-10,36005,bronx,no2,11.468182,22,Parts per billion,0110
2024-01-11,36005,bronx,no2,18.1875,24,Parts per billion,0110
2024-01-12,36005,bronx,no2,19.733333,24,Parts per billion,0110
2024-01-13,36005,bronx,no2,10.329167,24,Parts per billion,0110
2024-01-14,36005,bronx,no2,10.65,24,Parts per billion,0110
2024-01-15,36005,bronx,no2,20.4,24,Parts per billion,0110
2024-01-16,36005,bronx,no2,22.4625,24,Parts per billion,0110
2024-01-17,36005,bronx,no2,19.252632,19,Parts per billion,0110
2024-01-18,36005,bronx,no2,35.079167,24,Parts per billion,0110
2024-01-19,36005,bronx,no2,27.204167,24,Parts per billion,0110
2024-01-20,36005,bronx,no2,10.195833,24,Parts per billion,0110
2024-01-21,36005,bronx,no2,10.5125,24,Parts per billion,0110
2024-01-22,36005,bronx,no2,28.820833,24,Parts per billion,0110
2024-01-23,36005,bronx,no2,35.954167,24,Parts per billion,0110
2024-01-24,36005,bronx,no2,36.057895,19,Parts per billion,0110
2024-01-25,36005,bronx,no2,29.466667,24,Parts per billion,0110
2024-01-26,36005,bronx,no2,18.95,24,Parts per billion,0110
2024-01-27,36005,bronx,no2,18.270833,24,Parts per billion,0110
2024-01-28,36005,bronx,no2,12.7375,24,Parts per billion,0110
2024-01-29,36005,bronx,no2,12.894737,19,Parts per billion,0110
2024-01-30,36005,bronx,no2,17.1625,24,Parts per billion,0110
2024-01-31,36005,bronx,no2,25.208333,24,Parts per billion,0110
2024-02-01,36005,bronx,no2,28.958333,24,Parts per billion,0110
2024-02-02,36005,bronx,no2,21.6875,24,Parts per billion,0110
2024-02-03,36005,bronx,no2,11.345833,24,Parts per billion,0110
2024-02-04,36005,bronx,no2,14.3375,24,Parts per billion,0110
2024-02-05,36005,bronx,no2,14.46,20,Parts per billion,0110
2024-02-06,36005,bronx,no2,16.116667,24,Parts per billion,0110
2024-02-07,36005,bronx,no2,26.075,24,Parts per billion,0110
2024-02-08,36005,bronx,no2,45.611111,9,Parts per billion,0110
2024-02-12,36005,bronx,no2,15.906667,15,Parts per billion,0110
2024-02-13,36005,bronx,no2,15.545833,24,Parts per billion,0110
2024-02-14,36005,bronx,no2,10.22381,21,Parts per billion,0110
2024-02-15,36005,bronx,no2,19.541667,24,Parts per billion,0110
2024-02-16,36005,bronx,no2,12.9875,24,Parts per billion,0110
2024-02-17,36005,bronx,no2,14.666667,24,Parts per billion,0110
2024-02-18,36005,bronx,no2,16.125,24,Parts per billion,0110
2024-02-19,36005,bronx,no2,15.229167,24,Parts per billion,0110
2024-02-20,36005,bronx,no2,22.052632,19,Parts per billion,0110
2024-02-21,36005,bronx,no2,24.779167,24,Parts per billion,0110
2024-02-22,36005,bronx,no2,19.429167,24,Parts per billion,0110
2024-02-23,36005,bronx,no2,26.641667,24,Parts per billion,0110
2024-02-24,36005,bronx,no2,10.816667,24,Parts per billion,0110
2024-02-25,36005,bronx,no2,18.045833,24,Parts per billion,0110
2024-02-26,36005,bronx,no2,33.395833,24,Parts per billion,0110
2024-02-27,36005,bronx,no2,29.873684,19,Parts per billion,0110
2024-02-28,36005,bronx,no2,22.533333,24,Parts per billion,0110
2024-02-29,36005,bronx,no2,9.929167,24,Parts per billion,0110
2024-03-01,36005,bronx,no2,15.383333,24,Parts per billion,0110
2024-03-02,36005,bronx,no2,22.495833,24,Parts per billion,0110
2024-03-03,36005,bronx,no2,12.366667,24,Parts per billion,0110
2024-03-04,36005,bronx,no2,15.820833,24,Parts per billion,0110
2024-03-05,36005,bronx,no2,13.95,24,Parts per billion,0110
2024-03-06,36005,bronx,no2,18.257143,21,Parts per billion,0110
2024-03-07,36005,bronx,no2,11.383333,24,Parts per billion,0110
2024-03-08,36005,bronx,no2,14.845833,24,Parts per billion,0110
2024-03-09,36005,bronx,no2,12.808333,24,Parts per billion,0110
2024-03-10,36005,bronx,no2,8.666667,24,Parts per billion,0110
2024-03-11,36005,bronx,no2,7.99,20,Parts per billion,0110
2024-03-12,36005,bronx,no2,19.933333,24,Parts per billion,0110
2024-03-13,36005,bronx,no2,39.415,20,Parts per billion,0110
2024-03-14,36005,bronx,no2,35.182353,17,Parts per billion,0110
2024-03-15,36005,bronx,no2,22.35,24,Parts per billion,0110
2024-03-16,36005,bronx,no2,12.25,24,Parts per billion,0110
2024-03-17,36005,bronx,no2,9.704167,24,Parts per billion,0110
2024-03-18,36005,bronx,no2,9.38,20,Parts per billion,0110
2024-03-19,36005,bronx,no2,11.016667,24,Parts per billion,0110
2024-03-20,36005,bronx,no2,19.945833,24,Parts per billion,0110
2024-03-21,36005,bronx,no2,9.241667,24,Parts per billion,0110
2024-03-22,36005,bronx,no2,17.725,24,Parts per billion,0110
2024-03-23,36005,bronx,no2,14.470833,24,Parts per billion,0110
2024-03-24,36005,bronx,no2,8.895833,24,Parts per billion,0110
2024-03-25,36005,bronx,no2,14.795833,24,Parts per billion,0110
2024-03-26,36005,bronx,no2,14.808333,24,Parts per billion,0110
2024-03-27,36005,bronx,no2,28.304545,22,Parts per billion,0110
2024-03-28,36005,bronx,no2,22.085,20,Parts per billion,0110
2024-03-29,36005,bronx,no2,8.379167,24,Parts per billion,0110
2024-03-30,36005,bronx,no2,8.516667,24,Parts per billion,0110
2024-03-31,36005,bronx,no2,11.125,24,Parts per billion,0110
2024-04-01,36005,bronx,no2,27.145833,24,Parts per billion,0110
2024-04-02,36005,bronx,no2,24.718182,22,Parts per billion,0110
2024-04-03,36005,bronx,no2,9.475,24,Parts per billion,0110
2024-04-04,36005,bronx,no2,10.391667,24,Parts per billion,0110
2024-04-05,36005,bronx,no2,11.4375,24,Parts per billion,0110
2024-04-06,36005,bronx,no2,8.033333,24,Parts per billion,0110
2024-04-07,36005,bronx,no2,10.575,24,Parts per billion,0110
2024-04-08,36005,bronx,no2,29.654167,24,Parts per billion,0110
2024-04-09,36005,bronx,no2,33.295833,24,Parts per billion,0110
2024-04-10,36005,bronx,no2,14.575,24,Parts per billion,0110
2024-04-11,36005,bronx,no2,15.445,20,Parts per billion,0110
2024-04-12,36005,bronx,no2,9.2625,24,Parts per billion,0110
2024-04-13,36005,bronx,no2,6.166667,24,Parts per billion,0110
2024-04-14,36005,bronx,no2,13.0,24,Parts per billion,0110
2024-04-15,36005,bronx,no2,18.908333,24,Parts per billion,0110
2024-04-16,36005,bronx,no2,14.575,24,Parts per billion,0110
2024-04-17,36005,bronx,no2,20.505263,19,Parts per billion,0110
2024-04-18,36005,bronx,no2,7.933333,24,Parts per billion,0110
2024-04-19,36005,bronx,no2,14.4125,24,Parts per billion,0110
2024-04-20,36005,bronx,no2,12.325,24,Parts per billion,0110
2024-04-21,36005,bronx,no2,8.420833,24,Parts per billion,0110
2024-04-22,36005,bronx,no2,13.772727,22,Parts per billion,0110
2024-04-23,36005,bronx,no2,20.461111,18,Parts per billion,0110
2024-04-24,36005,bronx,no2,13.595833,24,Parts per billion,0110
2024-04-25,36005,bronx,no2,8.708333,24,Parts per billion,0110
2024-04-26,36005,bronx,no2,17.558333,24,Parts per billion,0110
2024-04-27,36005,bronx,no2,12.8875,24,Parts per billion,0110
2024-04-28,36005,bronx,no2,20.2625,24,Parts per billion,0110
2024-04-29,36005,bronx,no2,18.921053,19,Parts per billion,0110
2024-04-30,36005,bronx,no2,6.754167,24,Parts per billion,0110
2024-05-01,36005,bronx,no2,20.383333,24,Parts per billion,0110
2024-05-02,36005,bronx,no2,18.129167,24,Parts per billion,0110
2024-05-03,36005,bronx,no2,10.870833,24,Parts per billion,0110
2024-05-04,36005,bronx,no2,8.191667,24,Parts per billion,0110
2024-05-05,36005,bronx,no2,12.425,24,Parts per billion,0110
2024-05-06,36005,bronx,no2,20.794737,19,Parts per billion,0110
2024-05-07,36005,bronx,no2,16.2,15,Parts per billion,0110
2024-05-08,36005,bronx,no2,19.19,20,Parts per billion,0110
2024-05-09,36005,bronx,no2,8.277273,22,Parts per billion,0110
2024-05-10,36005,bronx,no2,10.325,24,Parts per billion,0110
2024-05-11,36005,bronx,no2,9.92,20,Parts per billion,0110
2024-05-12,36005,bronx,no2,10.233333,24,Parts per billion,0110
2024-05-13,36005,bronx,no2,16.7375,24,Parts per billion,0110
2024-05-14,36005,bronx,no2,21.216667,24,Parts per billion,0110
2024-05-15,36005,bronx,no2,13.972727,22,Parts per billion,0110
2024-05-16,36005,bronx,no2,6.916667,24,Parts per billion,0110
