date,county_fips,county_name,param,arithmetic_mean,observation_count,units_of_measure,site_num
2024-01-01,36081,queens,no2,15.133333,24,Parts per billion,0124
2024-01-02,36081,queens,no2,17.733333,24,Parts per billion,0124
2024-01-03,36081,queens,no2,16.583333,24,Parts per billion,0124
2024-01-04,36081,queens,no2,16.590476,21,Parts per billion,0124
2024-01-05,36081,queens,no2,16.770833,24,Parts per billion,0124
2024-01-06,36081,queens,no2,25.379167,24,Parts per billion,0124
2024-01-07,36081,queens,no2,9.1375,24,Parts per billion,0124
2024-01-08,36081,queens,no2,16.708333,24,Parts per billion,0124
2024-01-09,36081,queens,no2,19.8625,24,Parts per billion,0124
2024-01-10,36081,queens,no2,8.641667,24,Parts per billion,0124
2024-01-11,36081,queens,no2,14.482609,23,Parts per billion,0124
2024-01-12,36081,queens,no2,16.529167,24,Parts per billion,0124
2024-01-13,36081,queens,no2,6.025,24,Parts per billion,0124
2024-01-14,36081,queens,no2,7.758333,24,Parts per billion,0124
2024-01-15,36081,queens,no2,20.8625,24,Parts per billion,0124
2024-01-16,36081,queens,no2,19.483333,24,Parts per billion,0124
2024-01-17,36081,queens,no2,14.295833,24,Parts per billion,0124
2024-01-18,36081,queens,no2,34.314286,21,Parts per billion,0124
2024-01-19,36081,queens,no2,23.054167,24,Parts per billion,0124
2024-01-20,36081,queens,no2,7.870833,24,Parts per billion,0124
2024-01-21,36081,queens,no2,8.295833,24,Parts per billion,0124
2024-01-22,36081,queens,no2,26.325,24,Parts per billion,0124
2024-01-23,36081,queens,no2,35.145833,24,Parts per billion,0124
2024-01-24,36081,queens,no2,31.095455,22,Parts per billion,0124
2024-01-25,36081,queens,no2,27.741667,24,Parts per billion,0124
2024-01-26,36081,queens,no2,14.575,24,Parts per billion,0124
2024-01-27,36081,queens,no2,15.591667,24,Parts per billion,0124
2024-01-28,36081,queens,no2,8.2625,24,Parts per billion,0124
2024-01-29,36081,queens,no2,10.35,24,Parts per billion,0124
2024-01-30,36081,queens,no2,10.2875,24,Parts per billion,0124
2024-01-31,36081,queens,no2,15.316667,24,Parts per billion,0124
2024-02-01,36081,queens,no2,29.095,20,Parts per billion,0124
2024-02-02,36081,queens,no2,19.681818,22,Parts per billion,0124
2024-02-03,36081,queens,no2,8.025,24,Parts per billion,0124
2024-02-04,36081,queens,no2,13.216667,24,Parts per billion,0124
2024-02-05,36081,queens,no2,12.054167,24,Parts per billion,0124
2024-02-06,36081,queens,no2,14.690909,22,Parts per billion,0124
2024-02-07,36081,queens,no2,22.745833,24,Parts per billion,0124
2024-02-08,36081,queens,no2,33.8375,24,Parts per billion,0124
2024-02-09,36081,queens,no2,19.891667,24,Parts per billion,0124
2024-02-10,36081,queens,no2,33.820833,24,Parts per billion,0124
2024-02-11,36081,queens,no2,13.479167,24,Parts per billion,0124
2024-02-12,36081,queens,no2,16.104762,21,Parts per billion,0124
2024-02-13,36081,queens,no2,11.433333,24,Parts per billion,0124
2024-02-14,36081,queens,no2,7.429167,24,Parts per billion,0124
2024-02-15,36081,queens,no2,13.975,24,Parts per billion,0124
2024-02-16,36081,queens,no2,11.908696,23,Parts per billion,0124
2024-02-17,36081,queens,no2,12.1,24,Parts per billion,0124
2024-02-18,36081,queens,no2,13.383333,24,Parts per billion,0124
2024-02-19,36081,queens,no2,12.829167,24,Parts per billion,0124
2024-02-20,36081,queens,no2,13.972727,22,Parts per billion,0124
2024-02-21,36081,queens,no2,19.379167,24,Parts per billion,0124
2024-02-22,36081,queens,no2,10.245833,24,Parts per billion,0124
2024-02-23,36081,queens,no2,27.008333,24,Parts per billion,0124
2024-02-24,36081,queens,no2,10.716667,24,Parts per billion,0124
2024-02-25,36081,queens,no2,13.529167,24,Parts per billion,0124
2024-02-26,36081,queens,no2,23.104762,21,Parts per billion,0124
2024-02-27,36081,queens,no2,20.920833,24,Parts per billion,0124
2024-02-28,36081,queens,no2,10.5,24,Parts per billion,0124
2024-02-29,36081,queens,no2,7.2375,24,Parts per billion,0124
2024-03-01,36081,queens,no2,12.391667,24,Parts per billion,0124
2024-03-02,36081,queens,no2,12.95,24,Parts per billion,0124
2024-03-03,36081,queens,no2,12.891667,24,Parts per billion,0124
2024-03-04,36081,queens,no2,9.679167,24,Parts per billion,0124
2024-03-05,36081,queens,no2,12.904348,23,Parts per billion,0124
2024-03-06,36081,queens,no2,18.254545,11,Parts per billion,0124
2024-03-07,36081,queens,no2,11.1,24,Parts per billion,0124
2024-03-08,36081,queens,no2,9.8125,24,Parts per billion,0124
2024-03-09,36081,queens,no2,3.725,24,Parts per billion,0124
2024-03-10,36081,queens,no2,6.441667,24,Parts per billion,0124
2024-03-11,36081,queens,no2,5.175,24,Parts per billion,0124
2024-03-12,36081,queens,no2,22.127273,22,Parts per billion,0124
2024-03-13,36081,queens,no2,30.0,24,Parts per billion,0124
2024-03-14,36081,queens,no2,29.125,24,Parts per billion,0124
2024-03-15,36081,queens,no2,18.520833,24,Parts per billion,0124
2024-03-16,36081,queens,no2,12.345833,24,Parts per billion,0124
2024-03-17,36081,queens,no2,8.466667,24,Parts per billion,0124
2024-03-18,36081,queens,no2,5.5125,24,Parts per billion,0124
2024-03-19,36081,queens,no2,8.561111,18,Parts per billion,0124
2024-03-20,36081,queens,no2,14.808333,24,Parts per billion,0124
2024-03-21,36081,queens,no2,5.741667,24,Parts per billion,0124
2024-03-22,36081,queens,no2,13.079167,24,Parts per billion,0124
2024-03-23,36081,queens,no2,10.854167,24,Parts per billion,0124
2024-03-24,36081,queens,no2,4.570833,24,Parts per billion,0124
2024-03-25,36081,queens,no2,6.858333,24,Parts per billion,0124
2024-03-26,36081,queens,no2,9.345833,24,Parts per billion,0124
2024-03-27,36081,queens,no2,21.247368,19,Parts per billion,0124
2024-03-28,36081,queens,no2,23.945833,24,Parts per billion,0124
2024-03-29,36081,queens,no2,7.158333,24,Parts per billion,0124
2024-03-30,36081,queens,no2,6.216667,24,Parts per billion,0124
2024-03-31,36081,queens,no2,8.970833,24,Parts per billion,0124
2024-04-01,36081,queens,no2,25.6875,24,Parts per billion,0124
2024-04-02,36081,queens,no2,21.604167,24,Parts per billion,0124
2024-04-03,36081,queens,no2,7.25,24,Parts per billion,0124
2024-04-04,36081,queens,no2,8.8,24,Parts per billion,0124
2024-04-05,36081,queens,no2,7.930435,23,Parts per billion,0124
2024-04-06,36081,queens,no2,5.770833,24,Parts per billion,0124
2024-04-07,36081,queens,no2,7.725,24,Parts per billion,0124
2024-04-08,36081,queens,no2,29.804167,24,Parts per billion,0124
2024-04-09,36081,queens,no2,26.516667,24,Parts per billion,0124
2024-04-10,36081,queens,no2,8.241667,24,Parts per billion,0124
2024-04-11,36081,queens,no2,7.984211,19,Parts per billion,0124
2024-04-12,36081,queens,no2,5.379167,24,Parts per billion,0124
2024-04-13,36081,queens,no2,3.85,24,Parts per billion,0124
2024-04-14,36081,queens,no2,9.5375,24,Parts per billion,0124
2024-04-15,36081,queens,no2,13.395833,24,Parts per billion,0124
2024-04-16,36081,queens,no2,11.870833,24,Parts per billion,0124
2024-04-17,36081,queens,no2,16.116667,24,Parts per billion,0124
2024-04-18,36081,queens,no2,5.5125,24,Parts per billion,0124
2024-04-19,36081,queens,no2,8.22381,21,Parts per billion,0124
2024-04-20,36081,queens,no2,9.195833,24,Parts per billion,0124
2024-04-21,36081,queens,no2,6.495833,24,Parts per billion,0124
2024-04-22,36081,queens,no2,10.113043,23,Parts per billion,0124
2024-04-23,36081,queens,no2,19.058333,24,Parts per billion,0124
2024-04-24,36081,queens,no2,11.615789,19,Parts per billion,0124
2024-04-25,36081,queens,no2,6.233333,24,Parts per billion,0124
2024-04-26,36081,queens,no2,17.708333,24,Parts per billion,0124
2024-04-27,36081,queens,no2,9.3,24,Parts per billion,0124
2024-04-28,36081,queens,no2,18.079167,24,Parts per billion,0124
