date,county_fips,county_name,param,arithmetic_mean,observation_count,units_of_measure,site_num
2022-01-02,36047,kings,pm25,4.1,1,Micrograms/cubic meter (LC),0122
2022-01-05,36047,kings,pm25,7.9,1,Micrograms/cubic meter (LC),0122
2022-01-08,36047,kings,pm25,5.5,1,Micrograms/cubic meter (LC),0122
2022-01-14,36047,kings,pm25,11.6,1,Micrograms/cubic meter (LC),0122
2022-01-17,36047,kings,pm25,4.0,1,Micrograms/cubic meter (LC),0122
2022-01-20,36047,kings,pm25,6.1,1,Micrograms/cubic meter (LC),0122
2022-01-23,36047,kings,pm25,14.2,1,Micrograms/cubic meter (LC),0122
2022-01-26,36047,kings,pm25,3.9,1,Micrograms/cubic meter (LC),0122
2022-01-29,36047,kings,pm25,7.2,1,Micrograms/cubic meter (LC),0122
2022-02-01,36047,kings,pm25,12.2,1,Micrograms/cubic meter (LC),0122
2022-02-04,36047,kings,pm25,4.7,1,Micrograms/cubic meter (LC),0122
2022-02-07,36047,kings,pm25,10.5,1,Micrograms/cubic meter (LC),0122
2022-02-10,36047,kings,pm25,7.2,1,Micrograms/cubic meter (LC),0122
2022-02-13,36047,kings,pm25,6.0,1,Micrograms/cubic meter (LC),0122
2022-02-16,36047,kings,pm25,9.1,1,Micrograms/cubic meter (LC),0122
2022-02-19,36047,kings,pm25,4.8,1,Micrograms/cubic meter (LC),0122
2022-02-22,36047,kings,pm25,14.5,1,Micrograms/cubic meter (LC),0122
2022-02-25,36047,kings,pm25,4.7,1,Micrograms/cubic meter (LC),0122
2022-02-28,36047,kings,pm25,3.4,1,Micrograms/cubic meter (LC),0122
2022-03-03,36047,kings,pm25,6.3,1,Micrograms/cubic meter (LC),0122
2022-03-06,36047,kings,pm25,13.8,1,Micrograms/cubic meter (LC),0122
2022-03-09,36047,kings,pm25,5.4,1,Micrograms/cubic meter (LC),0122
2022-03-12,36047,kings,pm25,4.5,1,Micrograms/cubic meter (LC),0122
2022-03-15,36047,kings,pm25,9.7,1,Micrograms/cubic meter (LC),0122
