date,county_fips,county_name,param,arithmetic_mean,observation_count,units_of_measure,site_num
2023-01-03,36061,new_york,pm25,19.8,1,Micrograms/cubic meter (LC),0079
2023-01-06,36061,new_york,pm25,6.3,1,Micrograms/cubic meter (LC),0079
2023-01-09,36061,new_york,pm25,8.6,1,Micrograms/cubic meter (LC),0079
2023-01-12,36061,new_york,pm25,6.9,1,Micrograms/cubic meter (LC),0079
2023-01-15,36061,new_york,pm25,3.1,1,Micrograms/cubic meter (LC),0079
2023-01-18,36061,new_york,pm25,6.3,1,Micrograms/cubic meter (LC),0079
2023-01-21,36061,new_york,pm25,2.1,1,Micrograms/cubic meter (LC),0079
2023-01-24,36061,new_york,pm25,5.5,1,Micrograms/cubic meter (LC),0079
2023-01-27,36061,new_york,pm25,6.3,1,Micrograms/cubic meter (LC),0079
2023-01-30,36061,new_york,pm25,12.0,1,Micrograms/cubic meter (LC),0079
2023-02-02,36061,new_york,pm25,11.1,1,Micrograms/cubic meter (LC),0079
2023-02-05,36061,new_york,pm25,9.3,1,Micrograms/cubic meter (LC),0079
2023-02-08,36061,new_york,pm25,12.2,1,Micrograms/cubic meter (LC),0079
2023-02-11,36061,new_york,pm25,3.0,1,Micrograms/cubic meter (LC),0079
2023-02-14,36061,new_york,pm25,5.1,1,Micrograms/cubic meter (LC),0079
2023-02-17,36061,new_york,pm25,7.5,1,Micrograms/cubic meter (LC),0079
2023-02-20,36061,new_york,pm25,7.3,1,Micrograms/cubic meter (LC),0079
2023-02-23,36061,new_york,pm25,5.6,1,Micrograms/cubic meter (LC),0079
2023-02-26,36061,new_york,pm25,15.8,1,Micrograms/cubic meter (LC),0079
2023-03-01,36061,new_york,pm25,6.9,1,Micrograms/cubic meter (LC),0079
2023-03-04,36061,new_york,pm25,3.0,1,Micrograms/cubic meter (LC),0079
2023-03-07,36061,new_york,pm25,2.3,1,Micrograms/cubic meter (LC),0079
2023-03-10,36061,new_york,pm25,6.0,1,Micrograms/cubic meter (LC),0079
2023-03-13,36061,new_york,pm25,5.2,1,Micrograms/cubic meter (LC),0079
2023-03-16,36061,new_york,pm25,5.0,1,Micrograms/cubic meter (LC),0079
2023-03-19,36061,new_york,pm25,2.7,1,Micrograms/cubic meter (LC),0079
2023-03-22,36061,new_york,pm25,6.7,1,Micrograms/cubic meter (LC),0079
2023-03-25,36061,new_york,pm25,1.4,1,Micrograms/cubic meter (LC),0079
2023-03-28,36061,new_york,pm25,4.2,1,Micrograms/cubic meter (LC),0079
2023-03-31,36061,new_york,pm25,8.8,1,Micrograms/cubic meter (LC),0079
2023-04-03,36061,new_york,pm25,5.2,1,Micrograms/cubic meter (LC),0079
2023-04-06,36061,new_york,pm25,10.5,1,Micrograms/cubic meter (LC),0079
2023-04-09,36061,new_york,pm25,6.6,1,Micrograms/cubic meter (LC),0079
2023-04-12,36061,new_york,pm25,11.6,1,Micrograms/cubic meter (LC),0079
2023-04-15,36061,new_york,pm25,6.8,1,Micrograms/cubic meter (LC),0079
2023-04-18,36061,new_york,pm25,4.0,1,Micrograms/cubic meter (LC),0079
2023-04-22,36061,new_york,pm25,9.7,1,Micrograms/cubic meter (LC),0079
2023-04-27,36061,new_york,pm25,9.0,1,Micrograms/cubic meter (LC),0079
2023-04-30,36061,new_york,pm25,2.7,1,Micrograms/cubic meter (LC),0079
2023-05-03,36061,new_york,pm25,2.5,1,Micrograms/cubic meter (LC),0079
2023-05-06,36061,new_york,pm25,4.7,1,Micrograms/cubic meter (LC),0079
2023-05-09,36061,new_york,pm25,4.8,1,Micrograms/cubic meter (LC),0079
2023-05-12,36061,new_york,pm25,13.4,1,Micrograms/cubic meter (LC),0079
2023-05-15,36061,new_york,pm25,4.5,1,Micrograms/cubic meter (LC),0079
2023-05-18,36061,new_york,pm25,4.0,1,Micrograms/cubic meter (LC),0079
2023-05-21,36061,new_york,pm25,9.1,1,Micrograms/cubic meter (LC),0079
2023-05-24,36061,new_york,pm25,8.2,1,Micrograms/cubic meter (LC),0079
2023-05-27,36061,new_york,pm25,7.2,1,Micrograms/cubic meter (LC),0079
2023-05-30,36061,new_york,pm25,9.0,1,Micrograms/cubic meter (LC),0079
2023-06-02,36061,new_york,pm25,14.6,1,Micrograms/cubic meter (LC),0079
2023-06-05,36061,new_york,pm25,10.5,1,Micrograms/cubic meter (LC),0079
2023-06-08,36061,new_york,pm25,60.7,1,Micrograms/cubic meter (LC),0079
2023-06-11,36061,new_york,pm25,24.2,1,Micrograms/cubic meter (LC),0079
2023-06-14,36061,new_york,pm25,14.9,1,Micrograms/cubic meter (LC),0079
2023-06-17,36061,new_york,pm25,21.0,1,Micrograms/cubic meter (LC),0079
2023-06-20,36061,new_york,pm25,6.2,1,Micrograms/cubic meter (LC),0079
2023-06-23,36061,new_york,pm25,5.9,1,Micrograms/cubic meter (LC),0079
2023-06-26,36061,new_york,pm25,10.0,1,Micrograms/cubic meter (LC),0079
2023-06-29,36061,new_york,pm25,31.2,1,Micrograms/cubic meter (LC),0079
2023-07-02,36061,new_york,pm25,19.7,1,Micrograms/cubic meter (LC),0079
2023-07-05,36061,new_york,pm25,21.6,1,Micrograms/cubic meter (LC),0079
2023-07-08,36061,new_york,pm25,10.5,1,Micrograms/cubic meter (LC),0079
2023-07-14,36061,new_york,pm25,43.2,1,Micrograms/cubic meter (LC),0079
2023-07-17,36061,new_york,pm25,19.0,1,Micrograms/cubic meter (LC),0079
2023-07-20,36061,new_york,pm25,17.9,1,Micrograms/cubic meter (LC),0079
2023-07-23,36061,new_york,pm25,8.5,1,Micrograms/cubic meter (LC),0079
2023-07-26,36061,new_york,pm25,14.3,1,Micrograms/cubic meter (LC),0079
2023-07-29,36061,new_york,pm25,8.1,1,Micrograms/cubic meter (LC),0079
2023-08-01,36061,new_york,pm25,4.0,1,Micrograms/cubic meter (LC),0079
2023-08-04,36061,new_york,pm25,12.5,1,Micrograms/cubic meter (LC),0079
2023-08-07,36061,new_york,pm25,10.8,1,Micrograms/cubic meter (LC),0079
2023-08-10,36061,new_york,pm25,12.7,1,Micrograms/cubic meter (LC),0079
2023-08-13,36061,new_york,pm25,5.5,1,Micrograms/cubic meter (LC),0079
2023-08-16,36061,new_york,pm25,6.5,1,Micrograms/cubic meter (LC),0079
2023-08-19,36061,new_york,pm25,7.8,1,Micrograms/cubic meter (LC),0079
2023-08-22,36061,new_york,pm25,7.7,1,Micrograms/cubic meter (LC),0079
2023-08-25,36061,new_york,pm25,8.0,1,Micrograms/cubic meter (LC),0079
2023-08-28,36061,new_york,pm25,7.5,1,Micrograms/cubic meter (LC),0079
2023-08-31,36061,new_york,pm25,3.3,1,Micrograms/cubic meter (LC),0079
2023-09-03,36061,new_york,pm25,11.2,1,Micrograms/cubic meter (LC),0079
2023-09-06,36061,new_york,pm25,15.0,1,Micrograms/cubic meter (LC),0079
2023-09-09,36061,new_york,pm25,13.5,1,Micrograms/cubic meter (LC),0079
2023-09-12,36061,new_york,pm25,6.1,1,Micrograms/cubic meter (LC),0079
2023-09-15,36061,new_york,pm25,3.9,1,Micrograms/cubic meter (LC),0079
2023-09-18,36061,new_york,pm25,5.8,1,Micrograms/cubic meter (LC),0079
2023-09-21,36061,new_york,pm25,5.9,1,Micrograms/cubic meter (LC),0079
2023-09-24,36061,new_york,pm25,1.6,1,Micrograms/cubic meter (LC),0079
2023-09-27,36061,new_york,pm25,6.9,1,Micrograms/cubic meter (LC),0079
2023-09-30,36061,new_york,pm25,7.6,1,Micrograms/cubic meter (LC),0079
2023-10-03,36061,new_york,pm25,14.3,1,Micrograms/cubic meter (LC),0079
2023-10-06,36061,new_york,pm25,8.9,1,Micrograms/cubic meter (LC),0079
2023-10-09,36061,new_york,pm25,4.4,1,Micrograms/cubic meter (LC),0079
2023-10-12,36061,new_york,pm25,9.8,1,Micrograms/cubic meter (LC),0079
2023-10-15,36061,new_york,pm25,2.7,1,Micrograms/cubic meter (LC),0079
2023-10-18,36061,new_york,pm25,5.9,1,Micrograms/cubic meter (LC),0079
2023-10-21,36061,new_york,pm25,3.7,1,Micrograms/cubic meter (LC),0079
2023-10-24,36061,new_york,pm25,6.2,1,Micrograms/cubic meter (LC),0079
2023-10-27,36061,new_york,pm25,13.3,1,Micrograms/cubic meter (LC),0079
2023-10-30,36061,new_york,pm25,6.5,1,Micrograms/cubic meter (LC),0079
2023-11-02,36061,new_york,pm25,4.3,1,Micrograms/cubic meter (LC),0079
2023-11-05,36061,new_york,pm25,12.8,1,Micrograms/cubic meter (LC),0079
2023-11-08,36061,new_york,pm25,3.7,1,Micrograms/cubic meter (LC),0079
2023-11-11,36061,new_york,pm25,4.3,1,Micrograms/cubic meter (LC),0079
2023-11-14,36061,new_york,pm25,4.2,1,Micrograms/cubic meter (LC),0079
2023-11-17,36061,new_york,pm25,8.9,1,Micrograms/cubic meter (LC),0079
2023-11-20,36061,new_york,pm25,2.8,1,Micrograms/cubic meter (LC),0079
2023-11-23,36061,new_york,pm25,3.5,1,Micrograms/cubic meter (LC),0079
