date,county_fips,county_name,param,arithmetic_mean,observation_count,units_of_measure,site_num
2022-01-02,36081,queens,pm25,3.9,1,Micrograms/cubic meter (LC),0124
2022-01-05,36081,queens,pm25,7.0,1,Micrograms/cubic meter (LC),0124
2022-01-08,36081,queens,pm25,4.7,1,Micrograms/cubic meter (LC),0124
2022-01-11,36081,queens,pm25,6.9,1,Micrograms/cubic meter (LC),0124
2022-01-14,36081,queens,pm25,10.6,1,Micrograms/cubic meter (LC),0124
2022-01-17,36081,queens,pm25,3.3,1,Micrograms/cubic meter (LC),0124
2022-01-20,36081,queens,pm25,6.2,1,Micrograms/cubic meter (LC),0124
2022-01-23,36081,queens,pm25,13.4,1,Micrograms/cubic meter (LC),0124
2022-01-26,36081,queens,pm25,4.3,1,Micrograms/cubic meter (LC),0124
2022-01-29,36081,queens,pm25,6.6,1,Micrograms/cubic meter (LC),0124
2022-02-01,36081,queens,pm25,9.6,1,Micrograms/cubic meter (LC),0124
2022-02-04,36081,queens,pm25,5.0,1,Micrograms/cubic meter (LC),0124
2022-02-07,36081,queens,pm25,9.2,1,Micrograms/cubic meter (LC),0124
2022-02-10,36081,queens,pm25,7.4,1,Micrograms/cubic meter (LC),0124
2022-02-13,36081,queens,pm25,5.2,1,Micrograms/cubic meter (LC),0124
2022-02-16,36081,queens,pm25,8.2,1,Micrograms/cubic meter (LC),0124
2022-02-19,36081,queens,pm25,3.7,1,Micrograms/cubic meter (LC),0124
2022-02-22,36081,queens,pm25,11.5,1,Micrograms/cubic meter (LC),0124
2022-02-25,36081,queens,pm25,4.0,1,Micrograms/cubic meter (LC),0124
2022-03-03,36081,queens,pm25,6.1,1,Micrograms/cubic meter (LC),0124
2022-03-06,36081,queens,pm25,13.2,1,Micrograms/cubic meter (LC),0124
2022-03-09,36081,queens,pm25,4.5,1,Micrograms/cubic meter (LC),0124
2022-03-12,36081,queens,pm25,3.6,1,Micrograms/cubic meter (LC),0124
2022-03-15,36081,queens,pm25,8.4,1,Micrograms/cubic meter (LC),0124
2022-03-18,36081,queens,pm25,14.1,1,Micrograms/cubic meter (LC),0124
2022-03-21,36081,queens,pm25,2.6,1,Micrograms/cubic meter (LC),0124
2022-03-24,36081,queens,pm25,2.2,1,Micrograms/cubic meter (LC),0124
2022-03-27,36081,queens,pm25,1.7,1,Micrograms/cubic meter (LC),0124
2022-03-30,36081,queens,pm25,6.6,1,Micrograms/cubic meter (LC),0124
2022-04-02,36081,queens,pm25,2.8,1,Micrograms/cubic meter (LC),0124
2022-04-05,36081,queens,pm25,7.1,1,Micrograms/cubic meter (LC),0124
2022-04-08,36081,queens,pm25,3.6,1,Micrograms/cubic meter (LC),0124
2022-04-11,36081,queens,pm25,3.3,1,Micrograms/cubic meter (LC),0124
2022-04-14,36081,queens,pm25,11.0,1,Micrograms/cubic meter (LC),0124
2022-04-17,36081,queens,pm25,2.0,1,Micrograms/cubic meter (LC),0124
2022-04-20,36081,queens,pm25,3.2,1,Micrograms/cubic meter (LC),0124
2022-04-23,36081,queens,pm25,3.5,1,Micrograms/cubic meter (LC),0124
2022-04-26,36081,queens,pm25,6.6,1,Micrograms/cubic meter (LC),0124
2022-04-29,36081,queens,pm25,4.0,1,Micrograms/cubic meter (LC),0124
2022-05-02,36081,queens,pm25,5.5,1,Micrograms/cubic meter (LC),0124
2022-05-05,36081,queens,pm25,4.4,1,Micrograms/cubic meter (LC),0124
2022-05-08,36081,queens,pm25,4.1,1,Micrograms/cubic meter (LC),0124
2022-05-11,36081,queens,pm25,7.5,1,Micrograms/cubic meter (LC),0124
2022-05-14,36081,queens,pm25,5.0,1,Micrograms/cubic meter (LC),0124
2022-05-17,36081,queens,pm25,4.9,1,Micrograms/cubic meter (LC),0124
2022-05-20,36081,queens,pm25,8.8,1,Micrograms/cubic meter (LC),0124
2022-05-23,36081,queens,pm25,3.6,1,Micrograms/cubic meter (LC),0124
2022-05-26,36081,queens,pm25,4.7,1,Micrograms/cubic meter (LC),0124
2022-05-29,36081,queens,pm25,5.3,1,Micrograms/cubic meter (LC),0124
2022-06-01,36081,queens,pm25,6.7,1,Micrograms/cubic meter (LC),0124
2022-06-04,36081,queens,pm25,8.4,1,Micrograms/cubic meter (LC),0124
2022-06-07,36081,queens,pm25,4.7,1,Micrograms/cubic meter (LC),0124
2022-06-10,36081,queens,pm25,4.6,1,Micrograms/cubic meter (LC),0124
2022-06-13,36081,queens,pm25,10.4,1,Micrograms/cubic meter (LC),0124
2022-06-16,36081,queens,pm25,3.5,1,Micrograms/cubic meter (LC),0124
2022-06-19,36081,queens,pm25,3.6,1,Micrograms/cubic meter (LC),0124
2022-06-22,36081,queens,pm25,7.9,1,Micrograms/cubic meter (LC),0124
2022-06-25,36081,queens,pm25,11.1,1,Micrograms/cubic meter (LC),0124
2022-06-28,36081,queens,pm25,4.5,1,Micrograms/cubic meter (LC),0124
2022-07-01,36081,queens,pm25,12.9,1,Micrograms/cubic meter (LC),0124
2022-07-04,36081,queens,pm25,16.9,1,Micrograms/cubic meter (LC),0124
2022-07-07,36081,queens,pm25,3.6,1,Micrograms/cubic meter (LC),0124
2022-07-13,36081,queens,pm25,9.3,1,Micrograms/cubic meter (LC),0124
2022-07-16,36081,queens,pm25,8.0,1,Micrograms/cubic meter (LC),0124
2022-07-20,36081,queens,pm25,14.2,1,Micrograms/cubic meter (LC),0124
2022-07-22,36081,queens,pm25,11.1,1,Micrograms/cubic meter (LC),0124
2022-07-25,36081,queens,pm25,11.9,1,Micrograms/cubic meter (LC),0124
2022-07-28,36081,queens,pm25,11.0,1,Micrograms/cubic meter (LC),0124
2022-07-31,36081,queens,pm25,5.7,1,Micrograms/cubic meter (LC),0124
2022-08-03,36081,queens,pm25,6.5,1,Micrograms/cubic meter (LC),0124
2022-08-06,36081,queens,pm25,6.5,1,Micrograms/cubic meter (LC),0124
2022-08-09,36081,queens,pm25,8.7,1,Micrograms/cubic meter (LC),0124
2022-08-12,36081,queens,pm25,3.6,1,Micrograms/cubic meter (LC),0124
2022-08-15,36081,queens,pm25,5.2,1,Micrograms/cubic meter (LC),0124
2022-08-18,36081,queens,pm25,9.3,1,Micrograms/cubic meter (LC),0124
2022-08-21,36081,queens,pm25,6.3,1,Micrograms/cubic meter (LC),0124
2022-08-24,36081,queens,pm25,6.3,1,Micrograms/cubic meter (LC),0124
2022-08-27,36081,queens,pm25,11.1,1,Micrograms/cubic meter (LC),0124
2022-08-30,36081,queens,pm25,4.5,1,Micrograms/cubic meter (LC),0124
2022-09-02,36081,queens,pm25,2.7,1,Micrograms/cubic meter (LC),0124
2022-09-05,36081,queens,pm25,8.3,1,Micrograms/cubic meter (LC),0124
2022-09-08,36081,queens,pm25,4.3,1,Micrograms/cubic meter (LC),0124
2022-09-11,36081,queens,pm25,6.5,1,Micrograms/cubic meter (LC),0124
2022-09-14,36081,queens,pm25,5.7,1,Micrograms/cubic meter (LC),0124
2022-09-17,36081,queens,pm25,4.1,1,Micrograms/cubic meter (LC),0124
2022-09-20,36081,queens,pm25,6.0,1,Micrograms/cubic meter (LC),0124
2022-09-23,36081,queens,pm25,1.9,1,Micrograms/cubic meter (LC),0124
2022-09-26,36081,queens,pm25,4.7,1,Micrograms/cubic meter (LC),0124
2022-09-29,36081,queens,pm25,3.3,1,Micrograms/cubic meter (LC),0124
2022-10-02,36081,queens,pm25,3.4,1,Micrograms/cubic meter (LC),0124
2022-10-05,36081,queens,pm25,3.7,1,Micrograms/cubic meter (LC),0124
2022-10-08,36081,queens,pm25,2.8,1,Micrograms/cubic meter (LC),0124
2022-10-11,36081,queens,pm25,9.3,1,Micrograms/cubic meter (LC),0124
2022-10-14,36081,queens,pm25,6.3,1,Micrograms/cubic meter (LC),0124
2022-10-17,36081,queens,pm25,7.0,1,Micrograms/cubic meter (LC),0124
2022-10-20,36081,queens,pm25,4.0,1,Micrograms/cubic meter (LC),0124
2022-10-23,36081,queens,pm25,7.5,1,Micrograms/cubic meter (LC),0124
2022-10-26,36081,queens,pm25,4.3,1,Micrograms/cubic meter (LC),0124
2022-10-29,36081,queens,pm25,7.5,1,Micrograms/cubic meter (LC),0124
2022-11-01,36081,queens,pm25,7.0,1,Micrograms/cubic meter (LC),0124
2022-11-04,36081,queens,pm25,6.6,1,Micrograms/cubic meter (LC),0124
2022-11-07,36081,queens,pm25,5.2,1,Micrograms/cubic meter (LC),0124
2022-11-10,36081,queens,pm25,6.9,1,Micrograms/cubic meter (LC),0124
2022-11-13,36081,queens,pm25,3.1,1,Micrograms/cubic meter (LC),0124
2022-11-16,36081,queens,pm25,3.0,1,Micrograms/cubic meter (LC),0124
2022-11-19,36081,queens,pm25,6.5,1,Micrograms/cubic meter (LC),0124
2022-11-22,36081,queens,pm25,10.5,1,Micrograms/cubic meter (LC),0124
2022-11-25,36081,queens,pm25,6.5,1,Micrograms/cubic meter (LC),0124
2022-11-28,36081,queens,pm25,2.8,1,Micrograms/cubic meter (LC),0124
2022-12-01,36081,queens,pm25,3.4,1,Micrograms/cubic meter (LC),0124
2022-12-04,36081,queens,pm25,5.0,1,Micrograms/cubic meter (LC),0124
2022-12-07,36081,queens,pm25,6.4,1,Micrograms/cubic meter (LC),0124
2022-12-10,36081,queens,pm25,3.3,1,Micrograms/cubic meter (LC),0124
2022-12-13,36081,queens,pm25,3.9,1,Micrograms/cubic meter (LC),0124
2022-12-16,36081,queens,pm25,1.8,1,Micrograms/cubic meter (LC),0124
2022-12-19,36081,queens,pm25,4.1,1,Micrograms/cubic meter (LC),0124
2022-12-22,36081,queens,pm25,5.7,1,Micrograms/cubic meter (LC),0124
2022-12-25,36081,queens,pm25,7.3,1,Micrograms/cubic meter (LC),0124
2022-12-28,36081,queens,pm25,12.7,1,Micrograms/cubic meter (LC),0124
2022-12-31,36081,queens,pm25,14.2,1,Micrograms/cubic meter (LC),0124
2022-01-01,36081,queens,pm25,8.166667,24,Micrograms/cubic meter (LC),0124
2022-01-02,36081,queens,pm25,6.6875,24,Micrograms/cubic meter (LC),0124
2022-01-03,36081,queens,pm25,4.020833,24,Micrograms/cubic meter (LC),0124
2022-01-04,36081,queens,pm25,6.541667,24,Micrograms/cubic meter (LC),0124
2022-01-05,36081,queens,pm25,9.991667,24,Micrograms/cubic meter (LC),0124
2022-01-06,36081,queens,pm25,14.2875,24,Micrograms/cubic meter (LC),0124
2022-01-07,36081,queens,pm25,9.720833,24,Micrograms/cubic meter (LC),0124
2022-01-08,36081,queens,pm25,6.829167,24,Micrograms/cubic meter (LC),0124
2022-01-09,36081,queens,pm25,11.4375,24,Micrograms/cubic meter (LC),0124
2022-01-10,36081,queens,pm25,7.245833,24,Micrograms/cubic meter (LC),0124
2022-01-11,36081,queens,pm25,6.383333,24,Micrograms/cubic meter (LC),0124
2022-01-12,36081,queens,pm25,11.270833,24,Micrograms/cubic meter (LC),0124
2022-01-13,36081,queens,pm25,22.525,24,Micrograms/cubic meter (LC),0124
2022-01-14,36081,queens,pm25,14.658333,24,Micrograms/cubic meter (LC),0124
2022-01-15,36081,queens,pm25,7.075,24,Micrograms/cubic meter (LC),0124
2022-01-16,36081,queens,pm25,9.358333,24,Micrograms/cubic meter (LC),0124
2022-01-17,36081,queens,pm25,6.545833,24,Micrograms/cubic meter (LC),0124
2022-01-18,36081,queens,pm25,5.245833,24,Micrograms/cubic meter (LC),0124
2022-01-19,36081,queens,pm25,11.825,24,Micrograms/cubic meter (LC),0124
2022-01-20,36081,queens,pm25,10.445833,24,Micrograms/cubic meter (LC),0124
2022-01-21,36081,queens,pm25,5.7125,24,Micrograms/cubic meter (LC),0124
2022-01-22,36081,queens,pm25,8.0625,24,Micrograms/cubic meter (LC),0124
2022-01-23,36081,queens,pm25,16.779167,24,Micrograms/cubic meter (LC),0124
2022-01-24,36081,queens,pm25,20.716667,24,Micrograms/cubic meter (LC),0124
2022-01-25,36081,queens,pm25,21.2625,24,Micrograms/cubic meter (LC),0124
2022-01-26,36081,queens,pm25,5.658333,24,Micrograms/cubic meter (LC),0124
2022-01-27,36081,queens,pm25,6.6875,24,Micrograms/cubic meter (LC),0124
2022-01-28,36081,queens,pm25,26.478261,23,Micrograms/cubic meter (LC),0124
2022-01-29,36081,queens,pm25,9.916667,24,Micrograms/cubic meter (LC),0124
2022-01-30,36081,queens,pm25,7.216667,24,Micrograms/cubic meter (LC),0124
2022-01-31,36081,queens,pm25,10.925,24,Micrograms/cubic meter (LC),0124
2022-02-01,36081,queens,pm25,13.55,24,Micrograms/cubic meter (LC),0124
