date,county_fips,county_name,param,arithmetic_mean,observation_count,units_of_measure,site_num
2024-01-01,36085,richmond,pm25,9.8,1,Micrograms/cubic meter (LC),0055
2024-01-07,36085,richmond,pm25,3.2,1,Micrograms/cubic meter (LC),0055
2024-01-13,36085,richmond,pm25,3.3,1,Micrograms/cubic meter (LC),0055
2024-01-19,36085,richmond,pm25,12.6,1,Micrograms/cubic meter (LC),0055
2024-01-25,36085,richmond,pm25,14.2,1,Micrograms/cubic meter (LC),0055
2024-01-31,36085,richmond,pm25,4.2,1,Micrograms/cubic meter (LC),0055
2024-02-06,36085,richmond,pm25,3.3,1,Micrograms/cubic meter (LC),0055
2024-02-12,36085,richmond,pm25,7.4,1,Micrograms/cubic meter (LC),0055
2024-02-18,36085,richmond,pm25,5.9,1,Micrograms/cubic meter (LC),0055
2024-02-24,36085,richmond,pm25,5.7,1,Micrograms/cubic meter (LC),0055
2024-03-01,36085,richmond,pm25,4.6,1,Micrograms/cubic meter (LC),0055
2024-03-07,36085,richmond,pm25,2.1,1,Micrograms/cubic meter (LC),0055
2024-03-19,36085,richmond,pm25,3.0,1,Micrograms/cubic meter (LC),0055
2024-03-25,36085,richmond,pm25,4.8,1,Micrograms/cubic meter (LC),0055
2024-03-31,36085,richmond,pm25,4.7,1,Micrograms/cubic meter (LC),0055
2024-04-06,36085,richmond,pm25,1.9,1,Micrograms/cubic meter (LC),0055
2024-04-12,36085,richmond,pm25,5.4,1,Micrograms/cubic meter (LC),0055
2024-04-24,36085,richmond,pm25,4.6,1,Micrograms/cubic meter (LC),0055
2024-04-30,36085,richmond,pm25,14.7,1,Micrograms/cubic meter (LC),0055
2024-05-06,36085,richmond,pm25,11.0,1,Micrograms/cubic meter (LC),0055
2024-05-12,36085,richmond,pm25,3.0,1,Micrograms/cubic meter (LC),0055
2024-05-18,36085,richmond,pm25,6.7,1,Micrograms/cubic meter (LC),0055
2024-05-24,36085,richmond,pm25,8.5,1,Micrograms/cubic meter (LC),0055
2024-05-30,36085,richmond,pm25,4.6,1,Micrograms/cubic meter (LC),0055
2024-06-05,36085,richmond,pm25,7.8,1,Micrograms/cubic meter (LC),0055
2024-06-11,36085,richmond,pm25,4.7,1,Micrograms/cubic meter (LC),0055
2024-06-17,36085,richmond,pm25,7.0,1,Micrograms/cubic meter (LC),0055
2024-06-23,36085,richmond,pm25,10.3,1,Micrograms/cubic meter (LC),0055
2024-06-29,36085,richmond,pm25,4.7,1,Micrograms/cubic meter (LC),0055
2024-07-05,36085,richmond,pm25,18.1,1,Micrograms/cubic meter (LC),0055
2024-07-11,36085,richmond,pm25,4.4,1,Micrograms/cubic meter (LC),0055
2024-07-17,36085,richmond,pm25,9.9,1,Micrograms/cubic meter (LC),0055
2024-07-23,36085,richmond,pm25,7.9,1,Micrograms/cubic meter (LC),0055
2024-07-29,36085,richmond,pm25,16.1,1,Micrograms/cubic meter (LC),0055
2024-08-04,36085,richmond,pm25,7.7,1,Micrograms/cubic meter (LC),0055
2024-08-10,36085,richmond,pm25,6.6,1,Micrograms/cubic meter (LC),0055
2024-08-16,36085,richmond,pm25,16.0,1,Micrograms/cubic meter (LC),0055
2024-08-22,36085,richmond,pm25,5.0,1,Micrograms/cubic meter (LC),0055
2024-08-28,36085,richmond,pm25,11.7,1,Micrograms/cubic meter (LC),0055
2024-09-03,36085,richmond,pm25,3.7,1,Micrograms/cubic meter (LC),0055
2024-09-09,36085,richmond,pm25,4.6,1,Micrograms/cubic meter (LC),0055
2024-09-15,36085,richmond,pm25,8.0,1,Micrograms/cubic meter (LC),0055
2024-09-21,36085,richmond,pm25,5.0,1,Micrograms/cubic meter (LC),0055
2024-09-27,36085,richmond,pm25,4.2,1,Micrograms/cubic meter (LC),0055
2024-10-03,36085,richmond,pm25,5.8,1,Micrograms/cubic meter (LC),0055
2024-10-09,36085,richmond,pm25,5.0,1,Micrograms/cubic meter (LC),0055
2024-10-15,36085,richmond,pm25,3.0,1,Micrograms/cubic meter (LC),0055
2024-10-21,36085,richmond,pm25,11.1,1,Micrograms/cubic meter (LC),0055
2024-10-27,36085,richmond,pm25,4.2,1,Micrograms/cubic meter (LC),0055
2024-11-02,36085,richmond,pm25,2.8,1,Micrograms/cubic meter (LC),0055
2024-11-08,36085,richmond,pm25,4.7,1,Micrograms/cubic meter (LC),0055
2024-11-14,36085,richmond,pm25,4.5,1,Micrograms/cubic meter (LC),0055
2024-11-20,36085,richmond,pm25,9.0,1,Micrograms/cubic meter (LC),0055
2024-11-26,36085,richmond,pm25,5.9,1,Micrograms/cubic meter (LC),0055
2024-12-02,36085,richmond,pm25,7.0,1,Micrograms/cubic meter (LC),0055
2024-12-08,36085,richmond,pm25,6.9,1,Micrograms/cubic meter (LC),0055
2024-12-14,36085,richmond,pm25,7.9,1,Micrograms/cubic meter (LC),0055
2024-12-20,36085,richmond,pm25,4.3,1,Micrograms/cubic meter (LC),0055
2024-12-26,36085,richmond,pm25,13.3,1,Micrograms/cubic meter (LC),0055
