date,county_fips,county_name,param,arithmetic_mean,observation_count,units_of_measure,site_num
2022-01-01,36005,bronx,so2,0.179167,24,Parts per billion,0110
2022-01-02,36005,bronx,so2,0.1375,24,Parts per billion,0110
2022-01-03,36005,bronx,so2,0.441667,24,Parts per billion,0110
2022-01-04,36005,bronx,so2,0.579167,24,Parts per billion,0110
2022-01-05,36005,bronx,so2,0.5875,24,Parts per billion,0110
2022-01-06,36005,bronx,so2,0.428571,21,Parts per billion,0110
2022-01-07,36005,bronx,so2,0.404167,24,Parts per billion,0110
2022-01-08,36005,bronx,so2,0.433333,24,Parts per billion,0110
2022-01-09,36005,bronx,so2,0.35,24,Parts per billion,0110
2022-01-10,36005,bronx,so2,0.458333,24,Parts per billion,0110
2022-01-11,36005,bronx,so2,0.533333,24,Parts per billion,0110
2022-01-12,36005,bronx,so2,1.319048,21,Parts per billion,0110
2022-01-13,36005,bronx,so2,1.883333,24,Parts per billion,0110
2022-01-14,36005,bronx,so2,1.4375,24,Parts per billion,0110
2022-01-15,36005,bronx,so2,1.308333,24,Parts per billion,0110
2022-01-16,36005,bronx,so2,1.2875,24,Parts per billion,0110
2022-01-17,36005,bronx,so2,0.25,24,Parts per billion,0110
2022-01-18,36005,bronx,so2,0.304545,22,Parts per billion,0110
2022-01-19,36005,bronx,so2,0.6875,24,Parts per billion,0110
2022-01-20,36005,bronx,so2,0.679167,24,Parts per billion,0110
2022-01-21,36005,bronx,so2,1.166667,24,Parts per billion,0110
2022-01-22,36005,bronx,so2,0.970833,24,Parts per billion,0110
2022-01-23,36005,bronx,so2,1.1,24,Parts per billion,0110
2022-01-24,36005,bronx,so2,0.854167,24,Parts per billion,0110
2022-01-25,36005,bronx,so2,0.871429,21,Parts per billion,0110
2022-01-26,36005,bronx,so2,0.845833,24,Parts per billion,0110
2022-01-27,36005,bronx,so2,0.841667,24,Parts per billion,0110
2022-01-28,36005,bronx,so2,1.175,24,Parts per billion,0110
2022-01-29,36005,bronx,so2,0.516667,24,Parts per billion,0110
2022-01-30,36005,bronx,so2,0.629167,24,Parts per billion,0110
2022-01-31,36005,bronx,so2,2.0,24,Parts per billion,0110
2022-02-01,36005,bronx,so2,1.275,24,Parts per billion,0110
2022-02-02,36005,bronx,so2,0.638095,21,Parts per billion,0110
2022-02-03,36005,bronx,so2,0.6625,24,Parts per billion,0110
2022-02-04,36005,bronx,so2,0.579167,24,Parts per billion,0110
2022-02-05,36005,bronx,so2,0.516667,24,Parts per billion,0110
2022-02-06,36005,bronx,so2,0.654167,24,Parts per billion,0110
2022-02-07,36005,bronx,so2,0.504167,24,Parts per billion,0110
2022-02-08,36005,bronx,so2,0.5125,24,Parts per billion,0110
2022-02-09,36005,bronx,so2,1.066667,24,Parts per billion,0110
2022-02-10,36005,bronx,so2,0.804545,22,Parts per billion,0110
2022-02-11,36005,bronx,so2,0.954167,24,Parts per billion,0110
2022-02-12,36005,bronx,so2,0.45,24,Parts per billion,0110
2022-02-13,36005,bronx,so2,0.220833,24,Parts per billion,0110
2022-02-14,36005,bronx,so2,0.433333,24,Parts per billion,0110
2022-02-15,36005,bronx,so2,0.704167,24,Parts per billion,0110
2022-02-16,36005,bronx,so2,0.663636,22,Parts per billion,0110
2022-02-17,36005,bronx,so2,0.275,24,Parts per billion,0110
2022-02-18,36005,bronx,so2,0.125,24,Parts per billion,0110
2022-02-19,36005,bronx,so2,0.395833,24,Parts per billion,0110
2022-02-20,36005,bronx,so2,0.391667,24,Parts per billion,0110
2022-02-21,36005,bronx,so2,1.0,24,Parts per billion,0110
2022-02-22,36005,bronx,so2,0.358333,24,Parts per billion,0110
