date,county_fips,county_name,param,arithmetic_mean,observation_count,units_of_measure,site_num
2024-01-01,36081,queens,so2,0.508333,24,Parts per billion,0124
2024-01-02,36081,queens,so2,0.45,24,Parts per billion,0124
2024-01-03,36081,queens,so2,0.358333,24,Parts per billion,0124
2024-01-04,36081,queens,so2,0.522727,22,Parts per billion,0124
2024-01-05,36081,queens,so2,0.375,24,Parts per billion,0124
2024-01-06,36081,queens,so2,0.566667,24,Parts per billion,0124
2024-01-07,36081,queens,so2,0.229167,24,Parts per billion,0124
2024-01-08,36081,queens,so2,0.55,24,Parts per billion,0124
2024-01-09,36081,queens,so2,0.513636,22,Parts per billion,0124
2024-01-10,36081,queens,so2,0.304167,24,Parts per billion,0124
2024-01-11,36081,queens,so2,0.541667,24,Parts per billion,0124
2024-01-12,36081,queens,so2,0.425,24,Parts per billion,0124
2024-01-13,36081,queens,so2,0.1625,24,Parts per billion,0124
2024-01-14,36081,queens,so2,0.333333,24,Parts per billion,0124
2024-01-15,36081,queens,so2,0.995833,24,Parts per billion,0124
2024-01-16,36081,queens,so2,0.5875,24,Parts per billion,0124
2024-01-17,36081,queens,so2,0.7125,24,Parts per billion,0124
2024-01-18,36081,queens,so2,2.158333,24,Parts per billion,0124
2024-01-19,36081,queens,so2,0.713636,22,Parts per billion,0124
2024-01-20,36081,queens,so2,0.266667,24,Parts per billion,0124
2024-01-21,36081,queens,so2,0.35,24,Parts per billion,0124
2024-01-22,36081,queens,so2,1.083333,24,Parts per billion,0124
2024-01-23,36081,queens,so2,1.454167,24,Parts per billion,0124
2024-01-24,36081,queens,so2,0.316667,24,Parts per billion,0124
2024-01-25,36081,queens,so2,0.629167,24,Parts per billion,0124
2024-01-26,36081,queens,so2,0.104167,24,Parts per billion,0124
2024-01-27,36081,queens,so2,0.120833,24,Parts per billion,0124
2024-01-28,36081,queens,so2,0.145833,24,Parts per billion,0124
2024-01-29,36081,queens,so2,0.225,24,Parts per billion,0124
2024-01-30,36081,queens,so2,0.181818,22,Parts per billion,0124
2024-01-31,36081,queens,so2,0.195833,24,Parts per billion,0124
2024-02-01,36081,queens,so2,0.7375,24,Parts per billion,0124
2024-02-02,36081,queens,so2,0.269565,23,Parts per billion,0124
2024-02-03,36081,queens,so2,0.245833,24,Parts per billion,0124
2024-02-04,36081,queens,so2,0.370833,24,Parts per billion,0124
2024-02-05,36081,queens,so2,0.420833,24,Parts per billion,0124
2024-02-06,36081,queens,so2,0.370833,24,Parts per billion,0124
2024-02-07,36081,queens,so2,0.3625,24,Parts per billion,0124
2024-02-08,36081,queens,so2,0.713636,22,Parts per billion,0124
2024-02-09,36081,queens,so2,0.279167,24,Parts per billion,0124
2024-02-10,36081,queens,so2,0.575,24,Parts per billion,0124
2024-02-11,36081,queens,so2,0.233333,24,Parts per billion,0124
2024-02-12,36081,queens,so2,0.3125,24,Parts per billion,0124
2024-02-13,36081,queens,so2,0.0875,24,Parts per billion,0124
2024-02-14,36081,queens,so2,0.095238,21,Parts per billion,0124
2024-02-15,36081,queens,so2,0.266667,24,Parts per billion,0124
2024-02-16,36081,queens,so2,0.117391,23,Parts per billion,0124
2024-02-17,36081,queens,so2,0.066667,24,Parts per billion,0124
2024-02-18,36081,queens,so2,0.179167,24,Parts per billion,0124
2024-02-19,36081,queens,so2,0.2,24,Parts per billion,0124
2024-02-20,36081,queens,so2,0.070833,24,Parts per billion,0124
2024-02-21,36081,queens,so2,0.113636,22,Parts per billion,0124
2024-02-22,36081,queens,so2,-0.004167,24,Parts per billion,0124
2024-02-23,36081,queens,so2,0.095833,24,Parts per billion,0124
2024-02-24,36081,queens,so2,-0.016667,24,Parts per billion,0124
2024-02-25,36081,queens,so2,-0.004167,24,Parts per billion,0124
2024-02-26,36081,queens,so2,0.195833,24,Parts per billion,0124
2024-02-27,36081,queens,so2,-0.045833,24,Parts per billion,0124
2024-02-28,36081,queens,so2,-0.268182,22,Parts per billion,0124
2024-02-29,36081,queens,so2,-0.183333,24,Parts per billion,0124
2024-03-01,36081,queens,so2,-0.045833,24,Parts per billion,0124
2024-03-02,36081,queens,so2,-0.225,24,Parts per billion,0124
2024-03-03,36081,queens,so2,-0.158333,24,Parts per billion,0124
2024-03-04,36081,queens,so2,-0.144444,18,Parts per billion,0124
2024-03-05,36081,queens,so2,0.03,20,Parts per billion,0124
2024-03-06,36081,queens,so2,0.2,18,Parts per billion,0124
2024-03-07,36081,queens,so2,0.127273,22,Parts per billion,0124
2024-03-08,36081,queens,so2,0.2125,24,Parts per billion,0124
2024-03-09,36081,queens,so2,0.066667,24,Parts per billion,0124
2024-03-10,36081,queens,so2,0.079167,24,Parts per billion,0124
2024-03-11,36081,queens,so2,0.1375,24,Parts per billion,0124
2024-03-12,36081,queens,so2,0.979167,24,Parts per billion,0124
2024-03-13,36081,queens,so2,0.615,20,Parts per billion,0124
2024-03-14,36081,queens,so2,0.679167,24,Parts per billion,0124
2024-03-15,36081,queens,so2,0.470833,24,Parts per billion,0124
2024-03-16,36081,queens,so2,0.208333,24,Parts per billion,0124
2024-03-17,36081,queens,so2,0.158333,24,Parts per billion,0124
2024-03-18,36081,queens,so2,0.1375,24,Parts per billion,0124
2024-03-19,36081,queens,so2,0.175,24,Parts per billion,0124
2024-03-20,36081,queens,so2,0.741667,24,Parts per billion,0124
2024-03-21,36081,queens,so2,0.2,24,Parts per billion,0124
2024-03-22,36081,queens,so2,0.363636,22,Parts per billion,0124
2024-03-23,36081,queens,so2,0.095833,24,Parts per billion,0124
2024-03-24,36081,queens,so2,0.191667,24,Parts per billion,0124
2024-03-25,36081,queens,so2,0.195833,24,Parts per billion,0124
2024-03-26,36081,queens,so2,0.2,1,Parts per billion,0124
2024-03-29,36081,queens,so2,0.111111,9,Parts per billion,0124
2024-03-30,36081,queens,so2,0.120833,24,Parts per billion,0124
2024-03-31,36081,queens,so2,0.158333,24,Parts per billion,0124
2024-04-01,36081,queens,so2,0.229167,24,Parts per billion,0124
2024-04-02,36081,queens,so2,0.170833,24,Parts per billion,0124
2024-04-03,36081,queens,so2,0.022727,22,Parts per billion,0124
